NAME,PRICE(INR),PRICE(USD),LINK
TP4056 x 8,112,1.302325581,
Battery Holder x 8,144,1.674418605,https://robocraze.com/products/18650-1-cell-holder?_pos=1&_sid=1b7c5f1d9&_ss=r
Power supply 5V,360,4.186046512,https://robocraze.com/products/5v-5a-smps-power-supply-1?_pos=6&_sid=961772967&_ss=r
Wire 2m thin,64,0.7441860465,https://robocraze.com/products/ribbon-cable-10-wire-1-meter?_pos=1&_sid=83e5701e0&_ss=r
Wire Thick,100,1.162790698,I do find them on different sites which means more shipping so I'll just buy locally
Terminal Blocks,180,2.093023256,I do find them on different sites which means more shipping so I'll just buy locally
Vero Board,72,0.8372093023,https://robocraze.com/products/vero-board-3-x4?_pos=1&_sid=b79667d3c&_ss=r
Buying Locally,-280,-3.255813953,
Switches,78,0.9069767442,https://robocraze.com/products/rocker-switch-mini-on-off-spst-2-pin-kcd11?_pos=1&_sid=ec36618a0&_ss=r
Heat Shrink,13,0.1511627907,https://robocraze.com/products/5mm-heat-shrink-tube-black-1-meter?_pos=2&_sid=96cc6da7a&_ss=r
Total,843,9.802325581,
